time,projectId,userId,metric_id,chunk_index,quality,body_pose,led_pd_pos,offset_column,exp,led,gain,value
1667895301.0,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,18948
1667895301.007,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.015,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.023,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.031,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.039,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.046,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.054,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.062,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.07,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.078,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.085,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.093,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.101,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.109,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.117,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.125,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.132,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.14,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.148,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.156,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.164,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.171,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.179,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.187,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.195,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.203,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.21,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.218,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.226,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.234,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.242,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.25,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.257,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.265,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.273,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.281,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.289,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.296,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.304,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.312,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.32,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.328,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.335,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.343,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.351,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.359,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.367,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.375,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.382,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.39,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.398,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.406,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.414,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.421,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.429,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.437,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.445,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.453,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.46,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.468,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.476,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.484,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.492,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.5,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.507,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.515,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.523,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.531,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.539,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.546,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.554,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.562,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.57,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.578,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.585,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.593,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.601,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.609,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.617,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.625,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.632,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.64,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.648,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.656,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.664,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.671,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.679,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.687,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.695,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.703,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.71,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.718,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.726,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.734,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.742,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.75,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.757,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.765,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.773,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.781,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.789,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.796,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.804,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.812,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.82,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.828,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.835,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.843,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.851,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.859,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.867,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
